z,Pm,k
5.367248,0.0,0.00029148859776406005
5.367248,-0.0,0.00013427170201152464
5.367248,-0.0,9.905457693026675e-05
5.367248,0.0,4.4514799776284764e-05
5.367248,0.0,2.3848865393304376e-05
5.367248,0.0,1.2592903110764936e-05
5.367248,0.0,6.465422980403158e-06
5.367248,-0.0,3.361501685901334e-06
5.367248,0.0,1.7522606108077857e-06
5.367248,-0.0,8.971224405820732e-07
5.367248,0.0,4.6274345299251875e-07
5.367248,-0.0,2.3744107023570172e-07
5.367248,0.0,1.2667854159971954e-07
5.367248,0.0,4.09546888115773e-07
5.49459296,0.0,0.0
5.49459296,0.0,0.0006283185307179587
5.49459296,0.0,0.0004534498410585545
5.49459296,0.0,0.00023319087821124804
5.49459296,-0.0,0.00010741736160921972
5.49459296,-0.0,7.92436615442134e-05
5.49459296,0.0,3.561183982102781e-05
5.49459296,0.0,1.90790923146435e-05
5.49459296,0.0,1.0074322488611948e-05
5.49459296,0.0,5.172338384322526e-06
5.49459296,-0.0,2.689201348721067e-06
5.49459296,0.0,1.4018084886462285e-06
5.49459296,-0.0,7.176979524656586e-07
5.49459296,0.0,3.7019476239401503e-07
5.49459296,-0.0,1.8995285618856138e-07
5.49459296,0.0,1.0134283327977563e-07
5.49459296,0.0,3.276375104926184e-07
5.6244848192,0.0,0.0
5.6244848192,0.0,0.0005235987755982989
5.6244848192,0.0,0.00037787486754879544
5.6244848192,0.0,0.0001943257318427067
5.6244848192,-0.0,8.95144680076831e-05
5.6244848192,-0.0,6.603638462017783e-05
5.6244848192,0.0,2.9676533184189845e-05
5.6244848192,0.0,1.589924359553625e-05
5.6244848192,0.0,8.395268740509957e-06
5.6244848192,0.0,4.310281986935438e-06
5.6244848192,-0.0,2.241001123934223e-06
5.6244848192,0.0,1.1681737405385238e-06
5.6244848192,-0.0,5.980816270547156e-07
5.6244848192,0.0,3.0849563532834585e-07
5.6244848192,-0.0,1.5829404682380115e-07
5.6244848192,0.0,8.445236106647969e-08
5.6244848192,-0.0,2.730312587438487e-07
5.756974515584,0.0,0.0
5.756974515584,0.0,0.0004487989505128276
5.756974515584,0.0,0.0003238927436132532
5.756974515584,0.0,0.00016656491300803431
5.756974515584,-0.0,7.672668686372837e-05
5.756974515584,-0.0,5.660261538872385e-05
5.756974515584,0.0,2.5437028443591294e-05
5.756974515584,0.0,1.3627923081888215e-05
5.756974515584,0.0,7.19594463472282e-06
5.756974515584,0.0,3.694527417373233e-06
