# Matter power spectrum P(k) at redshift z=2 to z=4
# for k=1.04064e-05 to 16.51 h/Mpc,
# number of wavenumbers equal to 124
# 0:z   1:k (h/Mpc)              2:P (Mpc/h)^3
3.0     2.252353352192e-01      1.515933596402e+02
3.0     2.327685626799e-01      1.423073156633e+02
3.0     2.405550500539e-01      1.351380321205e+02
3.0     2.486042632468e-01      1.290772253755e+02
3.0     2.569264320095e-01      1.228546249143e+02
3.0     2.655326900614e-01      1.157138895350e+02
3.0     2.744352377335e-01      1.077689406782e+02
3.0     2.836475315701e-01      9.987937368894e+01
3.0     2.931845066381e-01      9.301342306552e+01
3.0     3.030628390319e-01      8.745114822868e+01
3.0     3.133012583707e-01      8.270518719078e+01
3.0     3.239209231947e-01      7.800995520224e+01
3.0     3.349458763741e-01      7.292328620729e+01
3.0     3.464036034235e-01      6.772545213924e+01
3.0     3.583257246456e-01      6.296533430357e+01
3.0     3.707488633635e-01      5.889680174969e+01
3.0     3.837157487360e-01      5.520653379488e+01
3.0     3.972766353284e-01      5.150010399713e+01
3.0     4.114911567648e-01      4.775852569563e+01
3.0     4.264307840594e-01      4.426336790988e+01
3.0     4.421821417540e-01      4.111090872672e+01
3.0     4.588515659937e-01      3.813043868222e+01
3.0     4.765715023592e-01      3.517349167990e+01
3.0     4.955097004706e-01      3.235063566901e+01
3.0     5.158827870432e-01      2.973152811590e+01
3.0     5.379769276834e-01      2.718360164756e+01
3.0     5.621804171447e-01      2.471348886834e+01
3.0     5.890372583406e-01      2.235197660722e+01
3.0     6.193396372156e-01      2.003441382057e+01
3.0     6.542969511286e-01      1.776643285570e+01
3.0     6.958662826103e-01      1.550685376387e+01
3.0     7.474500672257e-01      1.322820735230e+01
3.0     8.154878167808e-01      1.088030968091e+01
3.0     9.132176747887e-01      8.418009644231e+00
3.0     1.067681861987e+00      5.879341614103e+00
3.0     1.313696908781e+00      3.623099188999e+00
3.0     1.651041754173e+00      2.104817318885e+00
3.0     2.078484682313e+00      1.206945837206e+00
3.0     2.616656982536e+00      6.863705014765e-01
3.0     3.294175969156e+00      3.874307972450e-01
3.0     4.147121838492e+00      2.172163812252e-01
3.0     5.220917068284e+00      1.210348610866e-01
3.0     6.572745170133e+00      6.706301941694e-02
3.0     8.274595919928e+00      3.696677863302e-02
3.0     1.041709907593e+01      2.028063938565e-02
3.0     1.311435074386e+01      1.107764429849e-02
3.0     1.650998941063e+01      6.026278629232e-03
